USPS,PUMA_CODE,PUMA_NAME,POP10,HU10,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
AL,0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA",186695,87383,5400949192,249608423,2085.318,96.374,34.649881,-87.764577
AL,0100200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA,171821,70735,2680249002,141555101,1034.850,54.655,34.811886,-86.803207
AL,0100302,Huntsville City (Central & South) PUMA,101522,48422,161227750,1255716,62.250,0.485,34.687967,-86.563982
AL,0100301,Huntsville (North) & Madison (East) Cities PUMA,118924,51860,236143113,907646,91.175,0.350,34.758591,-86.692473
AL,0100400,DeKalb & Jackson Counties PUMA,124336,55895,4804327228,130780782,1854.961,50.495,34.644494,-85.906204
AL,0100500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA,118345,50749,1914247747,155938102,739.095,60.208,34.421382,-86.356354
AL,0100600,Morgan & Lawrence Counties--Decatur City PUMA,153829,66422,3289322887,119753325,1270.015,46.237,34.489361,-87.097147
AL,0100700,Cullman & Winston Counties PUMA,104890,50523,3490836215,101189748,1347.819,39.070,34.149044,-87.098188
AL,0100800,St. Clair & Blount Counties PUMA,140915,59428,3306581248,71457502,1276.678,27.590,33.836126,-86.432345
AL,0100900,Etowah County PUMA,104430,47454,1385618994,35322991,534.991,13.638,34.047638,-86.034420
AL,0101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA",160097,78831,7860837114,197738639,3035.086,76.347,33.544679,-85.742364
AL,0101100,Calhoun County PUMA,118572,53289,1569189995,16624267,605.868,6.419,33.771706,-85.822513
AL,0101200,Shelby County PUMA,195085,80970,2032960300,63700594,784.930,24.595,33.262937,-86.678104
AL,0101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA",170145,77644,353161427,5217930,136.356,2.015,33.474612,-86.711302
AL,0101302,Birmingham City (East) PUMA,102098,52962,135292233,222234,52.237,0.086,33.555909,-86.756142
AL,0101301,Birmingham City (West) PUMA,100833,49351,109505675,95813,42.280,0.037,33.490330,-86.883139
AL,0101305,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA",110717,47457,1105737697,19417263,426.928,7.497,33.434511,-87.080529
AL,0101304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA",174673,73138,1174495177,7521247,453.475,2.904,33.714258,-86.802264
