FIPS,ABBR,NAME,IS_STATE
01,AL,Alabama,TRUE
02,AK,Alaska,TRUE
04,AZ,Arizona,TRUE
05,AR,Arkansas,TRUE
06,CA,California,TRUE
08,CO,Colorado,TRUE
09,CT,Connecticut,TRUE
10,DE,Delaware,TRUE
11,DC,District of Columbia,FALSE
12,FL,Florida,TRUE
13,GA,Georgia,TRUE
15,HI,Hawaii,TRUE
16,ID,Idaho,TRUE
17,IL,Illinois,TRUE
18,IN,Indiana,TRUE
19,IA,Iowa,TRUE
20,KS,Kansas,TRUE
21,KY,Kentucky,TRUE
22,LA,Louisiana,TRUE
23,ME,Maine,TRUE
24,MD,Maryland,TRUE
25,MA,Massachusetts,TRUE
26,MI,Michigan,TRUE
27,MN,Minnesota,TRUE
28,MS,Mississippi,TRUE
29,MO,Missouri,TRUE
30,MT,Montana,TRUE
31,NE,Nebraska,TRUE
32,NV,Nevada,TRUE
33,NH,New Hampshire,TRUE
34,NJ,New Jersey,TRUE
35,NM,New Mexico,TRUE
36,NY,New York,TRUE
37,NC,North Carolina,TRUE
38,ND,North Dakota,TRUE
39,OH,Ohio,TRUE
40,OK,Oklahoma,TRUE
41,OR,Oregon,TRUE
42,PA,Pennsylvania,TRUE
44,RI,Rhode Island,TRUE
45,SC,South Carolina,TRUE
46,SD,South Dakota,TRUE
47,TN,Tennessee,TRUE
48,TX,Texas,TRUE
49,UT,Utah,TRUE
50,VT,Vermont,TRUE
51,VA,Virginia,TRUE
53,WA,Washington,TRUE
54,WV,West Virginia,TRUE
55,WI,Wisconsin,TRUE
56,WY,Wyoming,TRUE
60,AS,American Samoa,FALSE
66,GU,Guam,FALSE
69,MP,Northern Mariana Islands,FALSE
72,PR,Puerto Rico,FALSE
74,UM,U.S. Minor Outlying Islands,FALSE
78,VI,U.S. Virgin Islands,FALSE
